preferredLabel,altLabels,skillType
control aquatic production environment,"aquatic production environment assessing
evaluate aquatic production environment
control aquatic production environment
aquatic production environment evaluating
evaluating aquatic production environment
assessing aquatic production environment
aquatic production environment",skill/competence
information governance compliance,"governance, risk and compliance
governance information compliance
information governance compliance
company policy compliance
information compliance governance",knowledge
implement the airside safety auditing system,"implement the airside safety auditing system
implement the inspection system for airside safety
ensure operational departments maintain airside safety through auditing system
ensure airside safety through auditing system
deliver the airside safety auditing system
maintain airside safety through auditing system
implement the auditing system for airside safety
develop airside safety auditing system for operational departments
implement the airside safety inspection system
airside safety auditing system
inspection system for airside safety
operational departments maintain airside safety through auditing system
airside safety through auditing system
auditing system for airside safety
airside safety auditing system for operational departments
airside safety inspection system",skill/competence
intermodal options,"intermodal systems
different forms of intermodal transport
intermodal options
different systems of intermodal transport
different systems of intermodal transportation
current and future intermodal transport options
intermodal opportunities
different forms of intermodal transportation
intermodal choices
intermodal alternatives
current and future intermodal transportation options",knowledge
adjust voltage,"voltage adjusting
adjust voltage
changing voltage
adjusting voltage
voltage changing
change voltage",skill/competence
ensure vessel compliance with regulations,"ensure ship parts
maintain ship compliance with regulations
ensure ship compliance with regulations
ensure ships adhere to regulations
ensure ship components meet regulations
ensure vessel compliance with regulations
ensure vessel adhere to regulations
maintain vessel compliance with regulations
ensure vessel complies with regulations
ensure vessel parts
ensure ship complies with regulations
ensure vessel components meet regulations
ship parts
vessel parts",skill/competence
remove glass from windows,"removal of glass from windows
remove window glass
remove glass pane
removing window glass
removing glass pane
remove window pane
removing glass from windows
removing window pane
remove glass from windows
removal of window glass
window glass removal",skill/competence
park vehicles in depot,"vehicle parking in designated area
parking vehicles in depot
parking vehicles in designated area
vehicle parking in depot
park vehicles in depot",skill/competence
perform routine maintenance on railway engines,"perform routine maintenance on railway engines
undertake routine maintenance on railway engines
maintain railway engines
perform routine rail engine maintenance activities
perform routine maintenance on rail engines
perform routine maintenance of railway engines
conduct routine maintenance on railway engines
perform routine railway engine maintenance activities
undertake routine maintenance on rail engines
maintain railway engine components
maintain rail engine components
conduct routine maintenance on rail engines
routine maintenance on railway engines
railway engines
routine maintenance on rail engines
routine maintenance of railway engines
railway engine components
rail engine components",skill/competence
manage acute oncology patients,"manage acute oncology emergencies
treat acute cancer patients
manage acute oncology patients
treat acute oncology patients
manage acute oncology emergency
treat acute oncology-patients
acute oncology patients
acute oncology emergencies
acute oncology emergency",skill/competence
establish green roof,"vegetation on roof establishing
green roof establishing
establish vegetation on roof
establishing green roof
establishing vegetation on roof
establish green roof
green roof
vegetation on roof",skill/competence
ABBYY FineReader,ABBYY FineReader,knowledge
maintain vessel technical equipment according to instructions,"preserve ship technical equipment according to instructions
carry out maintenance activities on vessel devices following technical instructions
maintain ship technical devices according to instructions
maintain vessel technical equipment according to instructions
conduct maintenance activities on vessel equipment following technical instructions
conduct maintenance activities on ship equipment following technical instructions
preserve vessel technical equipment according to instructions
ensure maintenance of vessel devices and equipment according to technical instructions
maintain ship technical equipment according to instructions
carry out maintenance activities on ship devices following technical instructions
maintain vessel technical devices according to instructions
vessel technical equipment according to instructions
maintenance activities on vessel devices following technical instructions
ship technical devices according to instructions
maintenance activities on vessel equipment following technical instructions
maintenance activities on ship equipment following technical instructions
maintenance of vessel devices and equipment according to technical instructions
ship technical equipment according to instructions
maintenance activities on ship devices following technical instructions
vessel technical devices according to instructions",skill/competence
interact verbally in Greek,"interacting verbally in Greek
be fluent in Greek
speak Greek
communicate verbally in Greek
verbally interact in Greek
interact verbally in Greek",skill/competence
check subjects,"checking subjects
probe subjects
check subjects
examine subjects
check subject",skill/competence
operate lacquer spray gun,"operate lacquer spray gun
paint sprayer working
utilise lacquer spray gun
use lacquer spray gun
use paint sprayer
lacquer spray gun working
run paint sprayer
run lacquer spray gun
utilise paint sprayer
lacquer spray gun
paint sprayer",skill/competence
think abstractly,,skill/competence
repair hearing aids,"implement repairs for hearing aids
perform repairs for a hearing aid
perform repairs for hearing aids
complete repairs for hearing aids
perform a repair for a hearing aid
undertake repairs for hearing aids
performing repairs for hearing aids
repairs for hearing aids
repairs for a hearing aid
repair for a hearing aid",skill/competence
educate healthcare users on nutrition,"educate healthcare user on nutrition
help healthcare users select meals
educate health care users on nutrition
teach healthcare users on nutrition
inform health care users on nutritional value of meals
educate healthcare users on nutrition",skill/competence
cope with blood,"deal with blood
handle blood
endure blood
coping with blood
cope with blood
manage blood",skill/competence
use caulking tools,"utilise caulking compounds
use caulking tools
work with caulking tools
use caulking compounds
make use of caulking tools
use sealant
use a caulking tool
apply caulking tools
work with calking tools
caulking tools
caulking compounds
use of caulking tools
caulking tool",skill/competence
livestock farming systems,"systems of livestock husbandry
types of livestock husbandry systems
range of livestock farming systems
systems for livestock husbandry
characteristics of livestock husbandry systems
livestock farming systems
systems for livestock farming
characteristics of livestock farming systems
range of livestock husbandry systems
systems of livestock farming
types of livestock farming systems",knowledge
make critical decisions regarding the processing of food,"make a critical decision regarding the processing of food
make critical decisions regarding the food processing
make critical decisions regarding the processing of food
carry out critical decisions regarding the processing of food
implement critical decisions regarding the processing of food
undertake critical decisions regarding the processing of food
critical decisions regarding the processing of food
critical decision regarding the processing of food
critical decisions regarding the food processing",skill/competence
professional documentation in health care,"professional documentation in health-care
professional documentation in health care
professional documentation in the health care sector
professional written standards  in health care
professional health care documentation",knowledge
monitor nuclear power plant systems,"monitor nuclear power plant systems
nuclear power plant system controlling
monitoring nuclear power plant systems
nuclear power plant systems controlling
nuclear power plant systems monitoring
controlling nuclear power plant systems
nuclear power plant system monitoring
control nuclear power plant systems",skill/competence
weld mining machinery,"weld machinery in mines
welding of mining machinery
welding of mine machinery
weld mining machinery
repairing mine machinery
weld machines in mines
repair mine machinery
mine machinery welding
repair machinery in mines
repairing of mining machinery
repair machines in mines",skill/competence
monitor operations of cleaning machines,"view operations of cleaning machines
monitor the operations of a cleaning machines
monitor operations of cleaning machines
watch operations of cleaning machines
monitoring operations of cleaning machines
monitor the operation of cleaning machines
supervise operations of cleaning machines
oversee operations of cleaning machines
operations of cleaning machines
operations of a cleaning machines
operation of cleaning machines",skill/competence
prepare vehicles for painting,"arrange vehicles for application of paint
supply vehicles for application of paint
plan vehicles for application of paint
prepare a vehicle for application of paint
prepare vehicles for application of paint
provide vehicles for application of paint
preparing a vehicle for an application of paint
develop vehicles for application of paint
preparing vehicles for application of paint
vehicles for painting
vehicles for application of paint
vehicle for application of paint
vehicle for an application of paint",skill/competence
record multi-track sound,"record audio on a multi-track
record a multi-track sound
record sounds on multi-track
record multi-track sound
record multi-track audio",skill/competence
write musical scores,"apply music theory for score writing
use music theory for score writing
use music theory for writing  scores
write musical scores
write ensemble musical scores
write orchestra musical scores
apply music theory for writing  scores
write scores
music theory for score writing
music theory for writing scores",skill/competence
support service users to use technological aids,"support service users to use technological aids
support service users to use a technological aid
support a service user to use technological aids
support service users' use of technological aids
support service users in using technological aids
support service users to use technological aid
explain the use of technological aids to service users
help service users to use technological aids
encourage service users to use technological aids
service users to use technological aids
service users to use a technological aid
service user to use technological aids
service users' use of technological aids
service users in using technological aids
service users to use technological aid",skill/competence
watch video and motion picture production products,"screen video and motion picture production products
see video and motion picture production products
view video and motion picture production products
watch video and motion picture production products
watching video and motion picture production products
review video and motion picture production products
watch video and motion picture production product
video and motion picture production products",skill/competence
manage capsule rings,"supervising capsule ring filling
supervise capsule ring filling
capsule ring managing
manage capsule rings
managing capsule rings
capsule ring filling supervising
capsule rings
capsule ring filling",skill/competence
liaise with guest facilities providers,"liaise with guest facility providers
liaise with coach companies
liaise with guest facilities providers
liaise with restaurants
liaise with providers of guest facilities
liaise with hotels",skill/competence
develop components separation processes,"components separation process developing
developing components separation processes
components separation processes creating
components separation process creating
creating components separation processes
create components separation processes
components separation processes developing
develop components separation processes",skill/competence
communicate with elderly groups,,skill/competence
rubber technology,"mechanical rubber properties
rubber compounding
rubber and tire industry
rubber types
in-rubber properties",knowledge
use CAE software,"work with CAE software
manage CAE software
utilise CAE software
use CAE softwares
apply computer-aided engineering software
be familiar with CAE software
make use of CAE software
employ CAE software
use computer-aided engineering software
use CAE software
cae software
cae softwares
computer-aided engineering software
use of cae software",skill/competence
interpret urology diagnostic tests,"interpret urology diagnostic tests
interpret diagnostic tests in urology
interpret urology diagnostic test
perform diagnostic procedures in urology
interpret diagnostic test in urology
analyse urology diagnostic tests
analyze urology diagnostic tests
diagnostic procedures in urology",skill/competence
respond to changing navigation circumstances,"react decisively to changing navigation conditions
respond to changing conditions in navigation
respond to changing navigation circumstances
react decisively to unexpected changes in navigation
respond to changing circumstances while navigating
react to changes in navigation conditions
respond to changing navigation conditions
respond to changing circumstances in navigation
respond to changing conditions while navigating
react appropriately to changing navigation circumstances",skill/competence
manage relationships with artists,"manage relationships with artists
maintain  relationships with artists
regulate  relationships with artists
managing relationships with artists
manage a relationships with an artist
manage relationship with artists
supervise  relationships with artists
oversee  relationships with artists
relationships with artists
relationships with an artist
relationship with artists",skill/competence
Slovenian,"Slovene
ability to comprehend spoken and written Slovenian and to speak and write in Slovenian
competent in Slovenian
Slovenian",knowledge
maintain water distribution equipment,"maintaining water distribution equipment
repairing water distribution equipment
maintain water distribution equipment
water distribution equipment maintaining
water distribution equipment repairing
water distribution equipment",skill/competence
anodising specifications,"anodising processes
electroplating conditions
electroplating specifications
anodising specifications
anodising stipulations
anodising conditions
electroplating processes
electroplating stipulations",knowledge
operate nail gun,"operate nail guns
use nail gun
handle nail gun
control nail gun
activate nail gun
operating nail gun
operate nail gun
run nail gun
nail gun
nail guns",skill/competence
draft music cue breakdown,"draft music cue breakdowns
drafting music cue breakdown
draw up music cue breakdown
draft music cue breakdown
compile music cue breakdown
itemize music cue breakdown
write music cue breakdown",skill/competence
process qualitative information,"processing qualitative information
analyse facts
compile information
processing information
identify patterns
show analytical thinking
analyse information
categorise information
process qualitative info
observe information
process qualitative information
recognise connections
qualitative info",skill/competence
channel marketing,"channel advertising
marketing a channel
channel promotion
channel placing
marketing channels
channel marketing
market a channel",knowledge
prepare containers for beverage distillation,"prepare a container for beverage distillation
provide containers for beverage distillation
supply of containers for beverage distillation
supply containers for beverage distillation
arrange containers for beverage distillation
prepare containers for beverage distillation
containers for beverage distillation
container for beverage distillation",skill/competence
maintain safe working conditions in performing arts,"maintain safe conditions when working and performing arts
maintain safe working conditions in performing arts
ensure safety when performing arts
maintain safe working conditions
maintain working conditions safe when performing arts
safe working conditions in performing arts
safe conditions when working and performing arts
safety when performing arts
safe working conditions
working conditions safe when performing arts",skill/competence
conduct re-tanning operations,,skill/competence
offshore constructions and facilities,"offshore structures
wind farms
offshore facilities
oil platforms",knowledge
carry out geological explorations,"run geological explorations
perform geological explorations
conduct geological explorations
carrying out geological exploration
carry out geological exploration
carrying out geological explorations
carry out geological explorations
geological explorations
geological exploration",skill/competence
Gujarati,"ability to comprehend spoken and written Gujarati and to speak and write in Gujarati
Gujarati
competent in Gujarati",knowledge
help document artistic work at all stages,"aid documenting artistic work at all stages
help documenting artistic work at all stages
help document artistic work at all stages
help document artistic works at all stages
helping document artistic work at all stages
assist documenting artistic work at all stages",skill/competence
maintain the greenhouse,"maintain the greenhouse
cleaning the greenhouse
greenhouse cleaning
clean the greenhouse
maintaining the greenhouse
greenhouse maintaining",skill/competence
operate slaughterhouse equipment,"operate equipment in a slaughterhouse
use slaughterhouse equipment
work slaughterhouse equipment
operate slaughterhouse equipment
utilise slaughterhouse equipment
handle slaughterhouse equipment
slaughterhouse equipment
equipment in a slaughterhouse",skill/competence
identify requirements of the work,"identify work requirements
distinguish between work expectations
identify requirements of the work
establish work requirements
identify required work",skill/competence
recirculation systems,"range of recirculation systems
typology of aeration and biofilter systems
aeration and biofilter systems
recirculation systems
kinds of aeration and biofilter systems
typology of recirculation systems
kinds of recirculation systems
types of recirculation systems
types of aeration and biofilter systems
range of aeration and biofilter systems",knowledge
lay out digital written content,"laying out digital written content
lay out digital written content
format digital written content
lay out digital written contents
paginate digital written content",skill/competence
clean kitchen equipment,"clean kitchen equipment
wash cooking equipment
maintain kitchen utensils clean
clean equipment in kitchen
kitchen utensils clean",skill/competence
clean stalls,"clean stalls
cleaning stalls
stall cleaning
stalls cleaning
stalls mucking-out
stall mucking-out
muck-out stalls
mucking-out stalls",skill/competence
maintain mine machinery,"repair mine machinery
mine machinery maintenance
maintaining machinery in mine
repair mining equipment
maintenance of mine machinery
maintaining mine machinery
maintaining of mine machinery
repairing mining equipment
maintain machinery in mine
maintain mine machinery
mine machinery
machinery in mine",skill/competence
handle fish products,"handling fish products
storing fish products
fish products handling
fish product storing
handle fish products
fish products storing
store fish products
fish product handling
fish products",skill/competence
manage publicly traded companies,"managing publicly traded companies
manage publicly traded company
manage publicly traded companies
oversee publicly traded companies
handle publicly traded companies
publicly traded companies
publicly traded company",skill/competence
allocate keys,"allocate key
furnish keys
provide keys
allocate keys
supply keys",skill/competence
memorise large amounts of information,"memorising large amounts of information
commit large amounts of information to memory
learn large amounts of information
memorizing large amounts of information
remember large amounts of information
memorize large amounts of information",skill/competence
tend hot rolling mill,"guard  automatic threading machinery
watch hot rolling mill
guard  hot rolling mill
oversee  automatic threading machinery
oversee  hot rolling mill
monitor  hot rolling mill
watch automatic threading machinery
monitor  automatic threading machinery
tend hot rolling mill
automatic threading machinery
hot rolling mill",skill/competence
beer downstream processing,"downstream processing of beers
beer downstream measures
beer downstream processing
downstream processing of beer
beer downstream mechanisms
downstream beer processing
beer downstream procedures",knowledge
remove coating,"get rid of paint layers
discard paint layers
get rid of coating
discard coating
eliminate paint layers
remove coating
eliminate coating",skill/competence
functionalities of machinery,"machinery functionalities
functionalities of machinery
understand functionalities of machinery
functionalities of machines
functioning and calibration of machines
functioning and calibration of machinery",knowledge
maintain vehicle service,"manage vehicle service
control vehicle service
maintain vehicle service
maintain vehicle servicing
preserve vehicle service
maintenance of vehicle service
vehicle service maintenance
sustain vehicle service
vehicle service
vehicle servicing",skill/competence
design window and glazing systems,design energy efficient solutions for window and glazing systems,skill/competence
health care system,"the health care system
health care system
structure and function of health systems
the healthcare system
health care systems",knowledge
supervise food quality,"supervise food quality
control quality standards of food
supervise quality of food
ensure safety of food
supervising food quality
food quality
quality standards of food
quality of food
safety of food",skill/competence
use rope access techniques,"apply rope access techniques
use rope access techniques for theatre
utilize rope access techniques
use rope work
apply rope work
use rope access techniques
utilise rope access techniques
rope access techniques
rope access techniques for theatre",skill/competence
conduct water navigation,"manoeuvre through bodies of water
perform water navigation
undertake water navigation
navigate waterways
manoeuvre through waterways
carry out water navigation
navigate bodies of water
conduct water navigation
execute water navigation
water navigation",skill/competence
organise resources for artistic production,"organise resources for production
arrange resources for artistic production
organising resources for artistic production
organise resources for artistic productions
coordinate resources for artistic production
organize resources for artistic production
manage resources for artistic production
resources for artistic production
resources for production
resources for artistic productions",skill/competence
evaluation of psychological performance,"evaluation of psychological parameters
psychological performance evaluation
methods of evaluation of psychological performance
psychological performance evaluations
assessment of psychological parameters
evaluation of psychological performance
evaluations of psychological performance
assessment of psychological performance",knowledge
use gemstone identification equipment,"gemstone identification equipment use
use gemstone identification equipment
using gemstone identification equipment
apply gemstone identification equipment
operate gemstone identification equipment
employ gemstone identification equipment
gemstone identification equipment",skill/competence
procurement legislation,,knowledge
drive motor vehicle prototypes,"drive prototypes of motor vehicles
check the performance of motor vehicle prototypes
inspect the performance of motor vehicle models
drive motor-driven vehicle prototypes
examine the performance of motor vehicle prototypes
control the movement of motor vehicle prototypes
drive motor vehicle prototypes
drive motorised vehicle prototypes
test motor vehicle prototypes
movement of motor vehicle prototypes",skill/competence
prepare mould for vacuum forming,"mold preparing for vacuum forming
positioning mould for vacuum forming
mould positioning for vacuum forming
mould preparing for vacuum forming
preparing mould for vacuum forming
position mould for vacuum forming
prepare mold  for vacuum forming
positioning mold for vacuum forming
preparing mold for vacuum forming
mold positioning for vacuum forming
mould for vacuum forming
mold for vacuum forming",skill/competence
acute care,"care for patients with an urgent medical condition
acute care
short term care
acute medicine
care in acute phase of illness
secondary health care",knowledge
compass navigation,"compass triangulation
compass route-finding
compass navigation
compass reading
navigation with compass",knowledge
develop scientific research protocols,"developing scientific research protocols
scientific research protocol developing
write scientific research protocols
develop scientific research protocols
scientific research protocols writing
scientific research protocols developing
writing scientific research protocols
scientific research protocol writing
scientific research protocols",skill/competence
meet the requirements of social security reimbursement bodies,"meet requirements of social security reimbursement body
ensure requirements of social security reimbursement bodies are met
meet requirements of social security reimbursement bodies
meet the requirements of social security reimbursement bodies
ensure reimbursement criteria are met
requirements of social security reimbursement bodies are met
reimbursement criteria are met",skill/competence
review distribution management procedures,"undertake distribution management reviews
analyse procedures of distribution management
conduct analyses of distribution management procedures
review distribution management procedures
carry out assessments of distribution management procedures
review procedures for distribution management
make assessments of distribution review procedures
perform analyses of distribution management procedures
review processes for distribution management
review distribution management processes
analyse distribution management procedures",skill/competence
JavaScript Framework,JavaScript Framework,knowledge
fit dental appliances,"fit dental apparatus
install dental appliance
fit dental appliances
equip dental instruments
install dental instruments
equip dental appliances
fit dental instruments
install dental apparatus
equip dental apparatus
install dental equipment
equip and adjust dental apparatus
fit dental equipment
equip and adjust dental appliances",skill/competence
perform farm equipment hygiene,"perform farm equipment hygiene
perform hygiene on farm equipment
performing hygiene on farm equipment
clean milking equipment
performing farm equipment hygiene
cleaning milking equipment
milking equipment cleaning
farm equipment hygiene performing
sanitising milking equipment
sanitise milking equipment
milking equipment sanitising
farm equipment hygiene
hygiene on farm equipment",skill/competence
design circuits using CAD,"design basic circuits using CAD
design circuits using CAD
CAD circuit design
designing of circuits using CAD
using CAD to design circuits
use CAD to design circuits
design circuits using computer assisted design software
use CAD software for circuit design
designing circuits using CAD
circuit design using CAD
circuits using cad
basic circuits using cad
cad to design circuits
circuits using computer assisted design software
cad software for circuit design",skill/competence
balance database resources,balance database resources,skill/competence
fruit and vegetable products,"fruit and vegetable goods
fruit and vegetable merchandise
fruit and vegetable products
fruit and vegetable product
fruits and vegetables products
fruit and vegetable commodities
fruit and vegetable stock
fruit and vegetable brands",knowledge
tend lime-kiln,"tending lime-kiln
operating lime-kiln
lime-kiln tending
tend lime-kiln
operate lime-kiln
lime-kiln operating",skill/competence
coordinate remote communications,"coordinate network communications
coordinate radio communications
managing radio networks
coordinating remote communications
coordinate remote communications
manage radio networks
coordination of remote communications
coordinating of remote communications
manage radio communications
manage network communications
remote communications coordination
remote communications
network communications
radio communications
radio networks",skill/competence
execute sports training programme,"implement a sports training plan
execute programmes for sports training
supervise sports training plans for individuals or groups
execute training programmes in sports
execute sports training program
sports training plans for individuals or groups",skill/competence
strip wire,"using wire strippers
use wire strippers
stripping wire
wire stripper using
strip wire
wire stripping
wire strippers using
wire strippers",skill/competence
control objectives for information and related technology,"control objectives for information and related technology
COBIT
objectives for information and related technology",knowledge
advise on legal decisions,"propose legal decision
propose judicial decision
strategise judicial decisions
strategise legal decisions
suggest judicial decision
recommend judicial decision
advise on legal decisions
recommend legal decision
suggest legal decision",skill/competence
train staff in beer knowledge,"teach staff in beer knowledge
train staff in beer knowledge
educate staff in beer knowledge
train staff in knowledge of beer
instruct staff in beer knowledge",skill/competence
operate veneer slicer,"run veneer slicer
handle veneer slicer
operate veneer slicer
use veneer slicer
activate veneer slicer
operating veneer slicer
control veneer slicer
operate veneer slicers
veneer slicer
veneer slicers",skill/competence
implement procurement of innovation,"plan procurement of innovative solutions
procurement of innovation
innovation procurement
procurement of innovative solutions",skill/competence
3D body scanning technologies,"technologies for body scanning
3D body scan technologies
3D body scanning technologies
3D body scan
technologies for 3D body scanning",knowledge
electroform,"electroforming
electroform
electrode position
electroplating",skill/competence
recommend cosmetics to customers,"propose cosmetics  to customers
suggest cosmetics  to customers
advocate cosmetics  to customers
recommending cosmetics  to customers
endorse cosmetics  to customers
recommend cosmetics to customers
recommend a cosmetic to customers
recommend cosmetics to a customer",skill/competence
understand written Swedish,"comprehend written Swedish
understand Swedish writing
make sense of written Swedish
interpret written Swedish
understanding written Swedish
read Swedish
understand written Swedish
sense of written swedish",skill/competence
follow reporting procedures,"following reporting procedures
follow reporting procedure
mind reporting procedures
follow report procedures
follow reporting procedures
heed reporting procedures
respect reporting procedures",skill/competence
design electric power systems,"design electric power systems
electric power systems designing
designing electric power systems
system design for electric power
electric power systems specifying
specify electric power systems
specifying electric power systems",skill/competence
conduct participatory research,"participatory research
carry out participatory research
perform participatory research
conduct participatory research
run participatory research",skill/competence
identify pricing opportunities,"identify a pricing opportunity
identification of a pricing opportunity
analyse pricing opportunities
diagnose pricing opportunities
identifying pricing opportunities
determine pricing opportunities
classify pricing opportunities
identify pricing opportunities
pricing opportunities
pricing opportunity",skill/competence
organise costume fittings,"prepare wardrobe fittings
organise a costume fitting
organising costume fittings
organize costume fittings
arrange costume fittings
costume fittings
wardrobe fittings
costume fitting",skill/competence
mini wind power generation,"domestic wind turbines
mini wind turbines",knowledge
write railway investigation reports,"compose written summary of railway inquiry
write railway investigation reports
produce railway inquiry reports
write railway inquiry reports
write reports on railway investigations
compose written summary of railway investigation
summarise findings of railway inquiry
summarise findings of railway investigation
produce railway investigation reports",skill/competence
demonstrate willingness to learn,"display willingness to learn
work towards own potential
show self-knowledge
show willingness to learn
demonstrate willingness to learn
exhibit willingness to learn
direct own learning
own learning",skill/competence
work in a multicultural environment in fishery,"work in a multicultural environment in fishery
communicating in a multicultural environment in fishery
work in a multicultural fishery environment
communicating in a multicultural fishery environment
communicate in a multicultural fishery environment
working in a multicultural fishery environment
communicate in a multicultural environment in fishery
working in a multicultural environment in fishery",skill/competence
prepare digital art for master photograph,"produce photograph master of digital art
prepare digital art for master photograph
digital art preparation for master photograph
prepare digital art for master copy
digital art preparation for  master copy
produce digital art for master photograph
produce digital art for master copy
prepare and photograph digital art
digital art for master photograph
digital art for master copy
and photograph digital art",skill/competence
support public access to exhibitions,"endorse public access to exhibitions
supporting public access to exhibitions
promote public access to exhibitions
support public access to exhibitions
support public access to exhibition
support public exhibitions access
public access to exhibitions
public access to exhibition
public exhibitions access",skill/competence
mechanical engineering,"maintain mechanisms
mechanical system engineering
analyse mechanisms
mechanical engineering
design mechanisms
mechanism engineering
engineering of mechanical systems
engineering of mechanisms
manufacture mechanisms",knowledge
design microclimates in buildings,"design nzeb microclimates
design of micro climates in nzeb
microclimates in buildings
nzeb microclimates
micro climates in nzeb",skill/competence
manage backlogs,"ensure backlogs are cleared effectively
ensure backlogs are cleared efficiently
deal with backlogs
ensure backlogs are addressed effectively
manage backlogs
ensure backlogs are addressed efficiently
control backlogs
regulate backlogs
ensure  backlogs are cleared
handle backlogs
address backlogs
backlogs are cleared effectively
backlogs are cleared efficiently
backlogs are addressed effectively
backlogs are addressed efficiently
backlogs are cleared",skill/competence
"use equipment, tools or technology with precision","carry out manual activities
use hand tools
demonstrate technical acumen
use precision instrumentation
equipment, tools or technology with precision
hand tools
precision instrumentation",skill/competence
heed the altering anodising properties,"regard the changing electroplating characteristics
regard the altering anodising properties
heed the altering anodising properties
mind the altering anodising properties
observe the altering anodising properties
observe the changing electroplating characteristics
mind the changing electroplating characteristics
note the changing electroplating characteristics
note the altering anodising properties",skill/competence
primary care,"primary care
primary routine health care
primary routine medical care
primary medical care
primary health care",knowledge
operate call distribution system,"call distribution system
SBR
skills-based call routing
operate call distribution system
apply call distribution system",skill/competence
maintain prostheses,"maintain prostheses
maintaining prostheses
check, maintain and repair prostheses
maintain performance prostheses
performance prostheses",skill/competence
create landscape designs,"draw landscape designs
create new landscape designs
creating designs for landscape
create designs for landscape
landscape designs creating
landscape designs drawing
creating landscape designs
drawing  designs for landscape
draw new designs for landscape
drawing landscape designs
landscape designs
new landscape designs
designs for landscape",skill/competence
spray pesticides,"spraying pesticides
spray pesticide
apply pesticides through spraying
spray insecticides
spray pesticides
pesticides through spraying",skill/competence
liaise with educational institutions,"work together with educational institutions
collaborate with educational institutions
liaison with educational institutions
work with educational institutions
liaising with educational institutions
liaise with an educational institution
liaise with educational institutions
cooperate with educational institutions",skill/competence
maintain power plants,"repairing power plants
power plants repairing
maintain power plants
power plants maintaining
repair power plants
power plant repairing
maintaining power plants
power plant maintaining
power plants",skill/competence
assess vessel status,"assess ship condition
assess vessel condition
analyse the status of a vessel
make an assessment of the status of a vessel
analyse vessel condition
gauge vessel status
assess vessel status
analyse the status of a ship
analyse the condition of a vessel
evaluate the status of a vessel
assess the status of vessels
assess ship status
vessel status
ship condition
vessel condition
assessment of the status of a vessel
status of a vessel
status of vessels
ship status",skill/competence
draw up instrument setup,"document instrument setup
register instrument setup
take note of instrument setup
write down instrument setup
draw up instrument setup
drawing up instrument setup
draw up instruments setup
log instrument setup",skill/competence
id Tech,"id Tech 5
id Tech 2
id Tech
id Tech 3
id Tech 4
id Tech 1
id Tech 6",knowledge
maintain workshop space,"oversee workshop space
maintaining workshop space
maintain workshop space
keep up workshop space
maintain workshop spaces
keep workshop space in good condition
workshop space
workshop spaces",skill/competence
approve packaging design,"approving design of packaging
authorising design of packaging
approving packaging design
approve design of packaging
packaging design authorising
packaging design approving
authorise packaging design
authorising packaging design
approve packaging design
authorise design of packaging",skill/competence
flood remediation equipment,"flood remediation kit
flood remediation apparatus
flood prevention kit
flood remediation machinery
flood prevention machinery
flood prevention devices
flood remediation devices
flood remediation equipment
flood prevention apparatus",knowledge
fine-needle aspiration,"FNA
fine-needle aspiration
fine-needle aspirations
fine-needle aspiration biopsy
fine-needle aspiration cytology
fine-needle aspiration biopsies
FNAC",knowledge
philanthropy,,knowledge
types of plastic,"types of plastics
plastic types
types of plastic materials
plastics types
sorts of plastic
kinds of plastic
sorts of plastics
kinds of plastics
typology of plastic
plastic materials types
types of plastic
typology of plastics",knowledge
memorise script,"recall script
learn lines
remember lines
remember script
recollect lines
learn script
recall lines
memorize script
recollect script",skill/competence
plan marketing campaigns,"plan a marketing campaign
plan marketing campaign
planning a marketing campaign
set up marketing campaign
arrange marketing campaign
timetable marketing campaign
implement marketing campaign
planning marketing campaigns
marketing campaigns
marketing campaign",skill/competence
dry wood,"dry lumber
dry wood
dry timber
air wood
drying wood",skill/competence
engage the audience emotionally,"engaging the audience emotionally
create emotional connection with the audience
captivate the audience emotionally
engage audiences emotionally
draw in the audience emotionally
engage the audience emotionally
emotional connection with the audience",skill/competence
manoeuvere and load small vessel,"move and load small ship
small vessel manoeuvering and loading
moving small ship
load small vessel
moving and loading small ship
load small ship
manoeuvering small vessel
maneuver and load small vessel
manoeuvere small vessel
manoeuvering and loading small vessel
loading small vessel
loading small ship
small ship moving and loading
move small ship",skill/competence
manage pest and weed control,"pests and weeds managing
managing pest and weed control
pest and weed control managing
managing pests and weeds
manage pests and weeds
manage pest and weed control
pest and weed control
pests and weeds",skill/competence
fit ceiling tiles,"ceiling tile fitting
affix ceiling tiles
ceiling decoration
fit ceiling tiles
ceiling tiling
ceiling tile fitment
affixing ceiling tiles
fitting of ceiling tiles
fitment of ceiling tiles
fitting ceiling tiles
ceiling refurbishment
tiling ceiling",skill/competence
inspect capsules,"capsule checking
check capsules
inspect capsules
capsules checking
capsules inspecting
capsule inspecting
checking capsules
inspecting capsules",skill/competence
advise on cultural exhibitions,"advise director of museum
provide advice to museum director
advise museum director
advise museum directors
consult with museum directors
advice to museum director",skill/competence
analyse milled cocoa density,"analysing milled cocoa density
search milled cocoa density
investigate milled cocoa density
scrutinise milled cocoa density
analyze  milled cocoa density
test milled cocoa density",skill/competence
variety of apples,"brands of apples
apple variety
categories of apples
selections of apples
variety of apples
varieties of apples
types of apples",knowledge
